"SEX" "LENGTH" "DIAM" "HEIGHT" "WHOLE" "SHUCK" "VISCERA" "SHELL" "RINGS" "CLASS" "VOLUME" "DENSITY"
"3135" "F" 0.64 0.475 0.19 1.151 0.4365 0.281 0.3805 13 "A5" 0.05776 19.9272853185596
"2134" "M" 0.58 0.46 0.165 1.2275 0.473 0.1965 0.435 16 "A6" 0.044022 27.8837853800373
"2584" "M" 0.625 0.48 0.17 1.3555 0.671 0.268 0.3385 10 "A3" 0.051 26.578431372549
"670" "M" 0.475 0.385 0.145 0.6175 0.235 0.108 0.215 14 "A5" 0.026516875 23.2870577698164
"2468" "M" 0.44 0.325 0.115 0.39 0.163 0.087 0.113 7 "A2" 0.016445 23.7154150197628
"1216" "I" 0.335 0.245 0.09 0.2015 0.096 0.0405 0.048 7 "A2" 0.00738675 27.2785731207906
"2823" "M" 0.63 0.49 0.165 1.2005 0.575 0.273 0.294 10 "A3" 0.0509355 23.5690235690236
"1554" "I" 0.475 0.36 0.125 0.4905 0.205 0.1305 0.125 8 "A2" 0.021375 22.9473684210526
"3775" "F" 0.52 0.375 0.135 0.5375 0.221 0.117 0.17 8 "A2" 0.026325 20.4178537511871
"3767" "I" 0.205 0.155 0.045 0.0495 0.0235 0.011 0.014 3 "A1" 0.001429875 34.618410700236
"2829" "F" 0.655 0.515 0.17 1.527 0.8485 0.2635 0.331 11 "A4" 0.05734525 26.6281862926746
"1001" "F" 0.595 0.46 0.14 1.0045 0.4655 0.2095 0.2515 9 "A3" 0.038318 26.2148337595908
"863" "M" 0.6 0.495 0.175 1.29 0.606 0.276 0.3445 11 "A4" 0.051975 24.8196248196248
"2307" "I" 0.48 0.39 0.145 0.5825 0.2315 0.121 0.255 15 "A6" 0.027144 21.4596227527262
"1041" "F" 0.675 0.565 0.195 1.8375 0.7645 0.3615 0.553 12 "A4" 0.074368125 24.7081663010867
"2065" "F" 0.705 0.57 0.185 1.761 0.747 0.3725 0.488 10 "A3" 0.07434225 23.6877414928927
"3052" "F" 0.7 0.555 0.22 1.666 0.647 0.4285 0.455 11 "A4" 0.08547 19.4922194922195
"653" "M" 0.31 0.225 0.08 0.1345 0.054 0.024 0.05 7 "A2" 0.00558 24.1039426523297
"1571" "I" 0.515 0.39 0.125 0.5705 0.238 0.1265 0.185 8 "A2" 0.02510625 22.723425441872
"1832" "I" 0.485 0.36 0.12 0.5155 0.2465 0.1025 0.147 8 "A2" 0.020952 24.6038564337533
"3370" "F" 0.46 0.35 0.115 0.44 0.19 0.1025 0.13 8 "A2" 0.018515 23.764515257899
"4053" "M" 0.6 0.47 0.13 1.0105 0.423 0.219 0.298 9 "A3" 0.03666 27.5641025641026
"3423" "F" 0.555 0.44 0.145 0.8815 0.43 0.1975 0.2155 8 "A2" 0.035409 24.8948007568697
"2616" "I" 0.46 0.37 0.12 0.5335 0.2645 0.108 0.1345 6 "A1" 0.020424 26.1212299255777
"3685" "I" 0.36 0.25 0.115 0.465 0.21 0.1055 0.128 7 "A2" 0.01035 44.9275362318841
"2003" "M" 0.525 0.41 0.13 0.6875 0.3435 0.1495 0.1765 9 "A3" 0.0279825 24.5689270079514
"2235" "M" 0.495 0.415 0.165 0.7485 0.264 0.134 0.285 13 "A5" 0.033895125 22.0828216447055
"1304" "M" 0.55 0.43 0.15 0.8745 0.413 0.1905 0.248 9 "A3" 0.035475 24.6511627906977
"1346" "F" 0.6 0.465 0.155 1.04 0.4755 0.25 0.28 11 "A4" 0.043245 24.0490230084403
"78" "F" 0.555 0.425 0.14 0.788 0.282 0.1595 0.285 11 "A4" 0.0330225 23.862517980165
"1947" "M" 0.66 0.51 0.175 1.218 0.5055 0.303 0.37 11 "A4" 0.058905 20.6773618538324
"3372" "M" 0.48 0.395 0.15 0.6815 0.2145 0.1405 0.2495 18 "A6" 0.02844 23.9627285513361
"25" "F" 0.615 0.48 0.165 1.1615 0.513 0.301 0.305 10 "A3" 0.048708 23.8461854315513
"279" "F" 0.515 0.425 0.135 0.712 0.2665 0.1605 0.25 11 "A4" 0.029548125 24.0962836051357
"636" "M" 0.38 0.235 0.1 0.258 0.1055 0.054 0.08 7 "A2" 0.00893 28.8913773796193
"2979" "M" 0.7 0.545 0.185 1.6135 0.75 0.4035 0.3685 11 "A4" 0.0705775 22.8613935035953
"2843" "I" 0.37 0.27 0.09 0.1855 0.07 0.0425 0.065 7 "A2" 0.008991 20.6317428539651
"3757" "F" 0.65 0.495 0.175 1.227 0.528 0.258 0.37 11 "A4" 0.05630625 21.7915417915418
"1803" "F" 0.72 0.55 0.195 2.073 1.0715 0.4265 0.5015 9 "A3" 0.07722 26.8453768453768
"288" "M" 0.44 0.355 0.125 0.4775 0.132 0.0815 0.19 9 "A3" 0.019525 24.4558258642766
"2506" "F" 0.6 0.475 0.135 1.4405 0.5885 0.191 0.3175 9 "A3" 0.038475 37.4398960363873
"2929" "F" 0.65 0.565 0.2 1.6645 0.753 0.367 0.43 12 "A4" 0.07345 22.6616746085773
"4051" "M" 0.59 0.45 0.155 0.874 0.369 0.2135 0.24 8 "A2" 0.0411525 21.2380778810522
"1531" "I" 0.385 0.29 0.09 0.2365 0.1 0.0505 0.076 8 "A2" 0.0100485 23.535851122058
"868" "M" 0.615 0.51 0.15 1.296 0.545 0.3315 0.32 9 "A3" 0.0470475 27.5466284074605
"224" "I" 0.425 0.38 0.105 0.3265 0.1285 0.0785 0.1 10 "A3" 0.0169575 19.2540173964323
"1527" "I" 0.37 0.27 0.095 0.2175 0.097 0.046 0.065 6 "A1" 0.0094905 22.9176544966019
"251" "M" 0.59 0.47 0.18 1.1235 0.4205 0.2805 0.36 13 "A5" 0.049914 22.5087149897824
"871" "M" 0.62 0.5 0.165 1.307 0.6355 0.2545 0.315 9 "A3" 0.05115 25.5522971652004
"211" "M" 0.335 0.25 0.09 0.181 0.0755 0.0415 0.06 7 "A2" 0.0075375 24.0132669983416
"2582" "F" 0.62 0.485 0.175 1.2155 0.545 0.253 0.345 10 "A3" 0.0526225 23.0984844885743
"1147" "F" 0.58 0.45 0.155 0.93 0.385 0.246 0.265 9 "A3" 0.040455 22.9885057471264
"388" "M" 0.49 0.42 0.125 0.609 0.239 0.1435 0.22 14 "A5" 0.025725 23.6734693877551
"277" "M" 0.61 0.5 0.24 1.642 0.532 0.3345 0.69 18 "A6" 0.0732 22.431693989071
"3388" "M" 0.58 0.46 0.15 1.0165 0.491 0.221 0.265 9 "A3" 0.04002 25.39980009995
"4027" "M" 0.63 0.49 0.15 1.1955 0.5845 0.257 0.3 9 "A3" 0.046305 25.8179462261095
"3141" "F" 0.57 0.465 0.155 0.872 0.3245 0.239 0.285 14 "A5" 0.04108275 21.225453505425
"3777" "M" 0.555 0.445 0.13 0.8625 0.4225 0.155 0.24 9 "A3" 0.03210675 26.8635100095774
"399" "M" 0.585 0.455 0.15 0.987 0.4355 0.2075 0.31 11 "A4" 0.03992625 24.7205785667324
"381" "M" 0.535 0.42 0.145 0.791 0.33 0.189 0.25 10 "A3" 0.0325815 24.2775808357503
"3070" "F" 0.55 0.43 0.15 0.655 0.2635 0.122 0.221 8 "A2" 0.035475 18.4637068357999
"3014" "M" 0.575 0.47 0.15 0.9785 0.4505 0.196 0.276 9 "A3" 0.0405375 24.1381436941104
"37" "F" 0.54 0.475 0.155 1.217 0.5305 0.3075 0.34 16 "A6" 0.0397575 30.6105766207634
"2991" "I" 0.44 0.32 0.105 0.3875 0.1755 0.074 0.12 9 "A3" 0.014784 26.2107683982684
"2800" "M" 0.5 0.365 0.13 0.5945 0.309 0.1085 0.1535 9 "A3" 0.023725 25.0579557428873
"2418" "M" 0.465 0.355 0.125 0.5255 0.2025 0.135 0.145 13 "A5" 0.020634375 25.4672118733909
"1845" "I" 0.52 0.415 0.14 0.6375 0.308 0.1335 0.168 9 "A3" 0.030212 21.1008870647425
"3943" "M" 0.485 0.39 0.12 0.599 0.251 0.1345 0.169 8 "A2" 0.022698 26.3899903075161
"32" "F" 0.68 0.56 0.165 1.639 0.6055 0.2805 0.46 15 "A6" 0.062832 26.0854341736695
"1735" "M" 0.71 0.56 0.22 2.015 0.9215 0.454 0.566 11 "A4" 0.087472 23.0359429303091
"4132" "M" 0.5 0.38 0.125 0.577 0.269 0.1265 0.1535 9 "A3" 0.02375 24.2947368421053
"1493" "F" 0.645 0.505 0.165 1.318 0.55 0.3015 0.335 11 "A4" 0.053744625 24.5233825708152
"1780" "M" 0.6 0.495 0.175 1.3005 0.6195 0.284 0.3285 11 "A4" 0.051975 25.021645021645
"2732" "M" 0.535 0.43 0.155 0.7845 0.3285 0.169 0.245 10 "A3" 0.03565775 22.0008273096311
"212" "F" 0.415 0.325 0.105 0.38 0.1595 0.0785 0.12 12 "A4" 0.014161875 26.8326051458582
"1358" "M" 0.61 0.48 0.17 1.137 0.4565 0.29 0.347 10 "A3" 0.049776 22.8423336547734
"4071" "F" 0.72 0.59 0.205 1.7495 0.7755 0.4225 0.48 11 "A4" 0.087084 20.0897983556107
"3197" "F" 0.42 0.32 0.13 0.4135 0.1645 0.106 0.119 10 "A3" 0.017472 23.6664377289377
"910" "I" 0.34 0.25 0.07 0.2225 0.104 0.0425 0.055 7 "A2" 0.00595 37.3949579831933
"1354" "M" 0.61 0.45 0.15 0.871 0.407 0.1835 0.25 10 "A3" 0.041175 21.1536126290225
"3276" "I" 0.6 0.445 0.175 1.057 0.383 0.216 0.355 16 "A6" 0.046725 22.6217228464419
"3263" "F" 0.495 0.375 0.15 0.597 0.2615 0.135 0.178 11 "A4" 0.02784375 21.4410774410774
"1131" "M" 0.57 0.46 0.15 1.0375 0.5415 0.2035 0.25 9 "A3" 0.03933 26.3793541825578
"562" "F" 0.475 0.35 0.115 0.452 0.1715 0.092 0.155 11 "A4" 0.01911875 23.6417129780974
"2688" "I" 0.29 0.215 0.065 0.0985 0.0425 0.021 0.031 5 "A1" 0.00405275 24.304484609216
"397" "M" 0.47 0.38 0.145 0.5865 0.2385 0.144 0.185 8 "A2" 0.025897 22.6474108970151
"129" "M" 0.71 0.54 0.165 1.959 0.7665 0.261 0.78 18 "A6" 0.063261 30.9669464599042
"3813" "M" 0.445 0.37 0.125 0.515 0.2495 0.087 0.159 9 "A3" 0.02058125 25.0227755845733
"134" "I" 0.265 0.2 0.065 0.0975 0.04 0.0205 0.028 7 "A2" 0.003445 28.3018867924528
"1291" "I" 0.53 0.415 0.11 0.5745 0.2525 0.1235 0.189 9 "A3" 0.0241945 23.7450660274029
"3489" "I" 0.215 0.15 0.055 0.041 0.015 0.009 0.0125 3 "A1" 0.00177375 23.1148696264975
"2353" "M" 0.34 0.275 0.09 0.2065 0.0725 0.043 0.07 10 "A3" 0.008415 24.5395127748069
"1091" "I" 0.46 0.35 0.115 0.4155 0.18 0.098 0.1175 7 "A2" 0.018515 22.4412638401296
"2811" "F" 0.58 0.445 0.135 0.95 0.484 0.182 0.2325 8 "A2" 0.0348435 27.2647696126968
"3177" "I" 0.295 0.215 0.075 0.116 0.037 0.0295 0.04 8 "A2" 0.004756875 24.3857574563132
"1197" "M" 0.725 0.505 0.185 1.978 1.026 0.4255 0.4505 12 "A4" 0.067733125 29.2028457272568
"1875" "I" 0.565 0.46 0.155 0.8715 0.3755 0.215 0.25 10 "A3" 0.0402845 21.6336308009284
"2654" "F" 0.615 0.47 0.155 1.084 0.5885 0.209 0.246 9 "A3" 0.04480275 24.1949433907517
"2441" "M" 0.515 0.405 0.14 0.8505 0.312 0.146 0.315 17 "A6" 0.0292005 29.126213592233
"2449" "M" 0.565 0.44 0.175 1.122 0.393 0.2 0.375 20 "A6" 0.043505 25.7901390644754
"3718" "I" 0.475 0.355 0.135 0.4775 0.2145 0.09 0.1435 8 "A2" 0.022764375 20.9757570765725
"1577" "I" 0.525 0.4 0.14 0.654 0.305 0.16 0.169 7 "A2" 0.0294 22.2448979591837
"454" "F" 0.645 0.55 0.175 1.2915 0.57 0.3045 0.33 14 "A5" 0.06208125 20.8033826638478
"1999" "M" 0.505 0.395 0.135 0.5915 0.288 0.1315 0.185 12 "A4" 0.026929125 21.9650657048827
"855" "M" 0.59 0.475 0.165 1.077 0.4545 0.244 0.3095 9 "A3" 0.04624125 23.2908928716244
"1847" "I" 0.52 0.38 0.115 0.6645 0.3285 0.17 0.1425 7 "A2" 0.022724 29.2422108783665
"1406" "F" 0.7 0.545 0.13 1.556 0.6725 0.374 0.195 12 "A4" 0.049595 31.3741304566993
"3732" "F" 0.555 0.44 0.14 0.846 0.346 0.1715 0.2735 10 "A3" 0.034188 24.7455247455247
"1474" "F" 0.605 0.485 0.16 1.201 0.417 0.2875 0.38 9 "A3" 0.046948 25.5814944193576
"870" "F" 0.62 0.505 0.16 1.3725 0.6285 0.275 0.3685 11 "A4" 0.050096 27.3973969977643
"4128" "I" 0.39 0.31 0.085 0.344 0.181 0.0695 0.079 7 "A2" 0.0102765 33.4744319564054
"518" "M" 0.325 0.23 0.09 0.147 0.06 0.034 0.045 4 "A1" 0.0067275 21.850613154961
"3667" "M" 0.65 0.525 0.19 1.3685 0.5975 0.296 0.4 11 "A4" 0.0648375 21.1066126855601
"1952" "M" 0.675 0.515 0.15 1.312 0.556 0.2845 0.4115 11 "A4" 0.05214375 25.1612129929282
"618" "M" 0.31 0.225 0.075 0.1295 0.0455 0.0335 0.044 9 "A3" 0.00523125 24.7550776583035
"4023" "F" 0.695 0.56 0.185 1.7715 0.8195 0.331 0.437 10 "A3" 0.072002 24.6034832365768
"3733" "M" 0.555 0.46 0.16 0.86 0.3345 0.1935 0.275 10 "A3" 0.040848 21.0536623580102
"2532" "I" 0.34 0.265 0.07 0.185 0.0625 0.0395 0.07 7 "A2" 0.006307 29.3324877120659
"1586" "I" 0.54 0.43 0.14 0.8195 0.3935 0.1725 0.2295 9 "A3" 0.032508 25.2091792789467
"1224" "I" 0.365 0.27 0.085 0.196 0.0825 0.0375 0.06 7 "A2" 0.00837675 23.3980959202555
"3159" "M" 0.72 0.575 0.23 2.2695 0.8835 0.3985 0.665 16 "A6" 0.09522 23.8342785129175
"544" "F" 0.38 0.29 0.105 0.257 0.099 0.051 0.085 10 "A3" 0.011571 22.2106991616974
"729" "F" 0.52 0.4 0.12 0.6515 0.261 0.2015 0.165 15 "A6" 0.02496 26.1017628205128
"3389" "F" 0.58 0.48 0.18 1.2495 0.4945 0.27 0.371 8 "A2" 0.050112 24.9341475095785
"1165" "F" 0.62 0.48 0.16 1.1125 0.5635 0.2445 0.281 8 "A2" 0.047616 23.3639952956989
"1373" "F" 0.625 0.515 0.16 1.264 0.5715 0.326 0.321 9 "A3" 0.0515 24.5436893203883
"2961" "M" 0.555 0.425 0.15 0.873 0.4625 0.1845 0.1965 9 "A3" 0.03538125 24.6740858505564
"731" "M" 0.545 0.42 0.13 0.879 0.374 0.1695 0.23 13 "A5" 0.029757 29.5392680713782
"68" "F" 0.475 0.39 0.12 0.5305 0.2135 0.1155 0.17 10 "A3" 0.02223 23.8641475483581
"1535" "I" 0.39 0.285 0.1 0.281 0.1275 0.062 0.077 7 "A2" 0.011115 25.2811515969411
"1823" "I" 0.435 0.335 0.1 0.3245 0.135 0.0785 0.098 7 "A2" 0.0145725 22.2679704923658
"1591" "I" 0.545 0.4 0.13 0.686 0.3285 0.1455 0.18 9 "A3" 0.02834 24.2060691601976
"1293" "I" 0.535 0.4 0.135 0.6025 0.2895 0.121 0.154 9 "A3" 0.02889 20.8549671166494
"3266" "M" 0.59 0.45 0.12 0.7485 0.3345 0.1315 0.22 14 "A5" 0.03186 23.4934086629002
"1715" "M" 0.665 0.52 0.175 1.3725 0.606 0.32 0.395 12 "A4" 0.060515 22.6803271916054
"2011" "M" 0.58 0.46 0.16 1.063 0.513 0.2705 0.2625 9 "A3" 0.042688 24.9016116941529
"3630" "I" 0.55 0.45 0.14 0.753 0.3445 0.1325 0.24 8 "A2" 0.03465 21.7316017316017
"4116" "I" 0.35 0.25 0.075 0.1695 0.0835 0.0355 0.041 6 "A1" 0.0065625 25.8285714285714
"787" "M" 0.495 0.385 0.135 0.709 0.211 0.1375 0.262 12 "A4" 0.025727625 27.5579265478255
"1162" "F" 0.615 0.475 0.155 1.027 0.447 0.25 0.285 9 "A3" 0.045279375 22.6814084779218
"4083" "M" 0.65 0.525 0.185 1.3455 0.586 0.278 0.3865 9 "A3" 0.06313125 21.3127413127413
"2200" "M" 0.58 0.465 0.175 1.035 0.401 0.1865 0.385 17 "A6" 0.0471975 21.9291276020976
"2861" "I" 0.51 0.4 0.125 0.5935 0.239 0.13 0.204 8 "A2" 0.0255 23.2745098039216
"1402" "F" 0.67 0.505 0.175 1.0145 0.4375 0.271 0.3745 10 "A3" 0.05921125 17.1335683674977
"2891" "I" 0.6 0.445 0.135 0.9205 0.445 0.2035 0.253 9 "A3" 0.036045 25.5375225412679
"2021" "I" 0.285 0.215 0.07 0.1075 0.051 0.0225 0.027 6 "A1" 0.00428925 25.062656641604
"3433" "F" 0.625 0.47 0.17 1.255 0.525 0.2415 0.405 10 "A3" 0.0499375 25.1314142678348
"696" "I" 0.155 0.105 0.05 0.0175 0.005 0.0035 0.005 4 "A1" 0.00081375 21.505376344086
"1060" "I" 0.275 0.195 0.065 0.106 0.054 0.02 0.028 6 "A1" 0.003485625 30.4106150259996
"357" "F" 0.645 0.525 0.19 1.8085 0.7035 0.3885 0.395 18 "A6" 0.06433875 28.109032270599
"790" "F" 0.57 0.465 0.16 0.8935 0.3145 0.2575 0.263 10 "A3" 0.042408 21.0691378985097
"4121" "M" 0.475 0.37 0.11 0.4895 0.2185 0.107 0.146 8 "A2" 0.0193325 25.3200568990043
"1112" "I" 0.525 0.4 0.13 0.6455 0.325 0.1245 0.17 8 "A2" 0.0273 23.6446886446886
"2722" "I" 0.505 0.385 0.125 0.596 0.245 0.097 0.21 9 "A3" 0.024303125 24.5235952166645
"2945" "M" 0.72 0.58 0.19 2.0885 0.9955 0.478 0.5305 13 "A5" 0.079344 26.3220911474087
"396" "F" 0.5 0.395 0.14 0.7155 0.3165 0.176 0.24 10 "A3" 0.02765 25.877034358047
"898" "I" 0.295 0.23 0.08 0.1625 0.065 0.05 0.0385 5 "A1" 0.005428 29.9373618275608
"1014" "F" 0.625 0.485 0.2 1.38 0.5845 0.302 0.401 9 "A3" 0.060625 22.7628865979381
"4044" "M" 0.55 0.385 0.13 0.7275 0.343 0.1625 0.19 8 "A2" 0.0275275 26.4281173372082
"442" "F" 0.505 0.425 0.14 0.85 0.275 0.1625 0.285 19 "A6" 0.0300475 28.2885431400283
"3710" "I" 0.275 0.205 0.065 0.101 0.041 0.021 0.034 5 "A1" 0.003664375 27.5626812212178
"3689" "I" 0.47 0.355 0.12 0.4915 0.1765 0.1125 0.1325 9 "A3" 0.020022 24.5479972030766
"513" "M" 0.31 0.22 0.085 0.146 0.061 0.0365 0.045 6 "A1" 0.005797 25.185440745213
"3385" "F" 0.49 0.37 0.105 0.5265 0.249 0.1005 0.148 7 "A2" 0.0190365 27.6573950043338
"2155" "F" 0.57 0.45 0.17 1.098 0.414 0.187 0.405 20 "A6" 0.043605 25.1805985552116
"1478" "M" 0.62 0.485 0.155 1.049 0.462 0.231 0.25 10 "A3" 0.0466085 22.5066243281805
"1681" "M" 0.63 0.495 0.175 1.2695 0.605 0.271 0.328 11 "A4" 0.05457375 23.2620994525756
"4119" "I" 0.435 0.33 0.095 0.393 0.219 0.075 0.0885 6 "A1" 0.01363725 28.8181268217566
"309" "M" 0.57 0.435 0.145 0.9055 0.3925 0.2355 0.275 10 "A3" 0.03595275 25.1858341851458
"1267" "I" 0.475 0.36 0.11 0.492 0.211 0.11 0.15 8 "A2" 0.01881 26.1562998405104
"2541" "I" 0.44 0.355 0.12 0.495 0.231 0.11 0.125 7 "A2" 0.018744 26.4084507042254
"1183" "M" 0.685 0.52 0.165 1.519 0.699 0.3685 0.4 10 "A3" 0.058773 25.8452010276828
"3102" "M" 0.675 0.505 0.16 1.532 0.74 0.357 0.3815 11 "A4" 0.05454 28.0894756142281
"803" "I" 0.37 0.275 0.1 0.22 0.094 0.045 0.065 7 "A2" 0.010175 21.6216216216216
"1857" "F" 0.54 0.425 0.16 0.9455 0.3675 0.2005 0.295 9 "A3" 0.03672 25.7489106753813
"1029" "F" 0.645 0.515 0.15 1.212 0.515 0.2055 0.385 10 "A3" 0.04982625 24.3245277338752
"716" "I" 0.29 0.205 0.07 0.0975 0.036 0.019 0.035 8 "A2" 0.0041615 23.4290520245104
"3542" "F" 0.6 0.47 0.17 1.0805 0.4995 0.2245 0.3205 9 "A3" 0.04794 22.5385899040467
"1199" "M" 0.735 0.585 0.185 2.124 0.952 0.55 0.5 11 "A4" 0.079545375 26.7017409874553
"1782" "M" 0.605 0.475 0.175 1.2525 0.5575 0.3055 0.343 9 "A3" 0.050290625 24.9052383023675
"105" "F" 0.52 0.41 0.155 0.727 0.291 0.1835 0.235 12 "A4" 0.033046 21.9996368698178
"2038" "I" 0.48 0.35 0.135 0.5465 0.2735 0.0995 0.158 8 "A2" 0.02268 24.0961199294533
"2397" "F" 0.465 0.36 0.12 0.4765 0.192 0.1125 0.16 10 "A3" 0.020088 23.7206292313819
"2218" "F" 0.46 0.36 0.115 0.4755 0.2105 0.105 0.16 8 "A2" 0.019044 24.9684940138626
"3807" "M" 0.5 0.42 0.125 0.62 0.255 0.15 0.205 11 "A4" 0.02625 23.6190476190476
"3313" "M" 0.43 0.33 0.095 0.34 0.1315 0.085 0.112 14 "A5" 0.0134805 25.2216164088869
"2328" "F" 0.515 0.435 0.17 0.631 0.2765 0.111 0.216 12 "A4" 0.03808425 16.5685289850791
"1126" "M" 0.56 0.445 0.16 0.8965 0.42 0.2175 0.2215 8 "A2" 0.039872 22.4844502407705
"1442" "I" 0.48 0.36 0.125 0.542 0.2795 0.1025 0.147 7 "A2" 0.0216 25.0925925925926
"596" "F" 0.55 0.43 0.14 0.7135 0.2565 0.186 0.225 9 "A3" 0.03311 21.5493808517064
"3202" "M" 0.41 0.325 0.12 0.3745 0.158 0.081 0.125 12 "A4" 0.01599 23.4208880550344
"3537" "I" 0.58 0.47 0.15 0.907 0.444 0.1855 0.2445 11 "A4" 0.04089 22.1814624602592
"2092" "M" 0.525 0.405 0.13 0.7185 0.3265 0.1975 0.175 8 "A2" 0.02764125 25.9937593270927
"1223" "I" 0.365 0.27 0.085 0.1875 0.081 0.042 0.058 6 "A1" 0.00837675 22.383382576775
"3696" "M" 0.515 0.37 0.115 0.6145 0.3415 0.155 0.146 9 "A3" 0.02191325 28.0423944417191
"3854" "F" 0.575 0.45 0.1 0.9315 0.431 0.222 0.235 12 "A4" 0.025875 36
"2271" "I" 0.34 0.26 0.09 0.179 0.076 0.0525 0.055 6 "A1" 0.007956 22.4987430869784
"401" "M" 0.515 0.455 0.135 0.7225 0.295 0.1625 0.235 9 "A3" 0.031633875 22.8394403151685
"1804" "M" 0.72 0.56 0.18 1.5865 0.691 0.375 0.4425 11 "A4" 0.072576 21.8598434744268
"369" "F" 0.69 0.56 0.215 1.719 0.68 0.299 0.47 17 "A6" 0.083076 20.6918965766286
"3903" "M" 0.53 0.425 0.11 0.739 0.237 0.161 0.295 13 "A5" 0.0247775 29.8254464736152
"1048" "M" 0.715 0.565 0.175 1.9525 0.7645 0.4185 0.4135 10 "A3" 0.070695625 27.6183992998152
"2161" "M" 0.55 0.43 0.16 0.9295 0.317 0.1735 0.355 13 "A5" 0.03784 24.5639534883721
"2707" "I" 0.415 0.335 0.1 0.358 0.169 0.067 0.105 7 "A2" 0.0139025 25.750764251034
"613" "I" 0.495 0.37 0.125 0.4775 0.185 0.0705 0.169 18 "A6" 0.02289375 20.8572208572209
"3204" "F" 0.61 0.48 0.19 1.2955 0.5215 0.3225 0.365 12 "A4" 0.055632 23.2869571469658
"2619" "I" 0.485 0.375 0.13 0.5535 0.266 0.112 0.157 8 "A2" 0.02364375 23.4099920697859
"2810" "M" 0.58 0.445 0.16 0.984 0.49 0.201 0.27 9 "A3" 0.041296 23.8279736536226
"3781" "I" 0.46 0.34 0.1 0.386 0.1805 0.0875 0.0965 8 "A2" 0.01564 24.6803069053708
"1323" "I" 0.57 0.44 0.13 0.7665 0.347 0.1785 0.202 10 "A3" 0.032604 23.5093853514906
"2486" "I" 0.415 0.315 0.105 0.33 0.1405 0.0705 0.095 6 "A1" 0.013726125 24.0417452121411
"4067" "M" 0.68 0.545 0.185 1.672 0.7075 0.364 0.48 11 "A4" 0.068561 24.3870421960006
"3815" "M" 0.385 0.3 0.115 0.3435 0.1645 0.085 0.1025 6 "A1" 0.0132825 25.8610954263128
"888" "F" 0.685 0.54 0.16 1.6675 0.833 0.3775 0.475 11 "A4" 0.059184 28.1748445525818
"215" "M" 0.55 0.405 0.14 0.8025 0.244 0.1635 0.255 10 "A3" 0.031185 25.7335257335257
"873" "F" 0.625 0.49 0.2 1.3825 0.5895 0.285 0.381 11 "A4" 0.06125 22.5714285714286
"3281" "F" 0.62 0.485 0.165 1.166 0.483 0.238 0.355 13 "A5" 0.0496155 23.50072054096
"2992" "I" 0.45 0.33 0.115 0.365 0.14 0.0825 0.1245 8 "A2" 0.0170775 21.3731518079344
"2754" "M" 0.59 0.475 0.14 0.977 0.4625 0.2025 0.275 10 "A3" 0.039235 24.9012361412005
"571" "I" 0.45 0.345 0.135 0.443 0.1975 0.0875 0.1175 14 "A5" 0.02095875 21.1367567245184
"460" "M" 0.38 0.285 0.1 0.2665 0.115 0.061 0.075 11 "A4" 0.01083 24.6075715604801
"3588" "F" 0.64 0.5 0.17 1.2645 0.565 0.3375 0.315 9 "A3" 0.0544 23.2444852941176
"3924" "F" 0.61 0.5 0.18 1.438 0.5185 0.3735 0.3345 9 "A3" 0.0549 26.1930783242259
"1708" "M" 0.66 0.5 0.165 1.3195 0.667 0.269 0.341 9 "A3" 0.05445 24.2332415059688
"608" "M" 0.37 0.285 0.1 0.228 0.0675 0.0675 0.081 10 "A3" 0.010545 21.6216216216216
"2151" "I" 0.215 0.15 0.03 0.0385 0.0115 0.005 0.01 5 "A1" 0.0009675 39.7932816537468
"996" "M" 0.59 0.47 0.16 1.206 0.479 0.2425 0.309 8 "A2" 0.044368 27.1817526144969
"846" "F" 0.545 0.44 0.135 0.9185 0.429 0.2015 0.2375 10 "A3" 0.032373 28.3724091063541
"2540" "I" 0.44 0.325 0.1 0.4165 0.185 0.0865 0.11 6 "A1" 0.0143 29.1258741258741
"1039" "M" 0.67 0.525 0.165 1.6085 0.682 0.3145 0.4005 11 "A4" 0.05803875 27.7142426396158
"2976" "F" 0.655 0.505 0.175 1.2905 0.6205 0.2965 0.326 10 "A3" 0.057885625 22.2939633112711
"345" "M" 0.49 0.39 0.14 0.707 0.2795 0.2185 0.18 13 "A5" 0.026754 26.4259549973836
"3017" "I" 0.575 0.445 0.16 0.9175 0.45 0.1935 0.24 9 "A3" 0.04094 22.4108451392281
"1569" "I" 0.515 0.35 0.105 0.4745 0.213 0.123 0.1275 10 "A3" 0.01892625 25.0709992734958
"2773" "M" 0.64 0.495 0.17 1.139 0.5395 0.282 0.285 10 "A3" 0.053856 21.1489898989899
"2429" "M" 0.35 0.26 0.09 0.198 0.0725 0.056 0.06 10 "A3" 0.00819 24.1758241758242
"1630" "F" 0.585 0.445 0.14 0.913 0.4305 0.2205 0.253 10 "A3" 0.0364455 25.0511037027891
"2299" "M" 0.49 0.395 0.135 0.5545 0.213 0.0925 0.215 14 "A5" 0.02612925 21.2214280930375
"2" "M" 0.35 0.265 0.09 0.2255 0.0995 0.0485 0.07 7 "A2" 0.0083475 27.0140760706798
"796" "M" 0.53 0.41 0.155 0.7155 0.2805 0.1685 0.214 11 "A4" 0.0336815 21.243115656963
